ID,Workers,Cities,Ressources_Total,Workers_per_City,Ressources_per_City,City_weight\n
871000,4,8,1898.0,0.7,250,6
566169,6,8,2988.0,0.7,250,6
95325,3,3,2301.0,0.7,250,6
69268,10,11,3725.0,0.7,250,6
136485,7,7,4533.0,0.7,250,6
177870,10,10,1498.0,0.7,250,6
911528,5,5,6625.0,0.7,250,6
552160,12,12,3441.0,0.7,250,6
653539,5,5,861.0,0.7,250,6
844197,11,11,2125.0,0.7,250,6
886679,4,9,1161.0,0.7,250,6
771905,8,10,1266.0,0.7,250,6
675599,12,11,9779.0,0.7,250,6
595839,12,12,3571.0,0.7,250,6
934075,5,10,1496.0,0.7,250,6
178731,18,18,1818.0,0.7,250,6
452757,5,6,1032.0,0.7,250,6
656104,14,14,4197.0,0.7,250,6
904031,1,0,0,0.7,250,6
806148,9,8,5855.0,0.7,250,6
197492,3,5,1598.0,0.7,250,6
178786,8,7,2896.0,0.7,250,6
388778,10,11,6352.0,0.7,250,6
